,randgraph_4_5.graph,randgraph_4_6.graph,randgraph_8_13.graph,randgraph_8_26.graph,randgraph_16_109.graph,randgraph_32_452.graph,randgraph_64_1045.graph,randgraph_128_8125.graph,randgraph_256_7526.graph,randgraph_512_25778.graph
ntd_bench_2.ntd,1,1,1,1,1,0,0,0,0,0
ntd_bench_3.ntd,1,1,1,1,0,0,0,0,0,0
ntd_bench_4.ntd,1,1,0,0,0,0,0,0,0,0
ntd_bench_5.ntd,1,1,1,1,0,0,0,0,0,0
ntd_bench_6.ntd,1,1,1,1,1,1,0,0,0,0
ntd_bench_7.ntd,1,1,1,1,1,0,0,0,0,0
ntd_bench_8.ntd,1,1,1,1,1,1,0,0,0,0
ntd_bench_9.ntd,1,1,1,1,1,1,1,0,0,0
ntd_bench_10.ntd,1,1,1,1,1,0,0,0,0,0
ntd_complete_2.ntd,1,1,1,1,1,1,1,1,1,1
ntd_complete_3.ntd,1,1,1,1,1,1,1,1,0,0
ntd_complete_4.ntd,1,1,1,1,1,0,0,0,0,0
ntd_complete_5.ntd,1,1,0,0,0,0,0,0,0,0
ntd_path_2.ntd,1,1,1,1,1,1,1,1,1,1
ntd_path_3.ntd,1,1,1,1,1,1,1,1,1,1
ntd_path_4.ntd,1,1,1,1,1,1,1,0,0,0
ntd_path_5.ntd,1,1,1,1,1,1,0,0,0,0
ntd_path_6.ntd,1,1,1,1,1,1,0,0,0,0
ntd_path_7.ntd,1,1,1,1,1,0,0,0,0,0